Kod,Şirket Ünvanı,Şehir,Bağımsız Denetim Kuruluşu
BINHO,1000 YATIRIMLAR HOLDİNG A.Ş.,İSTANBUL,EREN BAĞIMSIZ DENETİM A.Ş.
AVOD,A.V.O.D. KURUTULMUŞ GIDA VE TARIM ÜRÜNLERİ SANAYİ TİCARET A.Ş.,İZMİR,HSY DANIŞMANLIK VE BAĞIMSIZ DENETİM A.Ş.
"A1CAP, ACP",A1 CAPİTAL YATIRIM MENKUL DEĞERLER A.Ş.,İSTANBUL,PKF ADAY BAĞIMSIZ DENETİM A.Ş.
ACSEL,ACISELSAN ACIPAYAM SELÜLOZ SANAYİ VE TİCARET A.Ş.,DENİZLİ,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
ADEL,ADEL KALEMCİLİK TİCARET VE SANAYİ A.Ş.,KOCAELİ,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
ADESE,ADESE GAYRİMENKUL YATIRIM A.Ş.,KONYA,TTK BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.
ADGYO,ADRA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İZMİR,DENEYİM BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.
AFYON,AFYON ÇİMENTO SANAYİ T.A.Ş.,İSTANBUL,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
AGHOL,AG ANADOLU GRUBU HOLDİNG A.Ş.,İSTANBUL,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
AGESA,AGESA HAYAT VE EMEKLİLİK A.Ş.,İSTANBUL,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
AGROT,AGROTECH YÜKSEK TEKNOLOJİ VE YATIRIM A.Ş.,İSTANBUL,EREN BAĞIMSIZ DENETİM A.Ş.
AHSGY,AHES GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL,RAM BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.
AHGAZ,AHLATCI DOĞAL GAZ DAĞITIM ENERJİ VE YATIRIM A.Ş.,İSTANBUL,FİNANSAL EKSEN BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.
